Exposure,Power,CarAge,DriverAge,Brand,Gas,Region,Density
0.09,g,0.0,46.0,Japanese (except Nissan) or Korean,Diesel,Aquitaine,76.0
0.84,g,0.0,46.0,Japanese (except Nissan) or Korean,Diesel,Aquitaine,76.0
0.52,f,2.0,38.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,3003.0
0.45,f,2.0,38.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,3003.0
0.15,g,0.0,41.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,60.0
0.75,g,0.0,41.0,Japanese (except Nissan) or Korean,Diesel,Pays-de-la-Loire,60.0
0.81,d,1.0,27.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,695.0
0.05,d,0.0,27.0,Japanese (except Nissan) or Korean,Regular,Aquitaine,695.0
0.76,d,9.0,23.0,Fiat,Regular,Nord-Pas-de-Calais,3424.5
0.34,i,0.0,44.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.1,f,2.0,32.0,Japanese (except Nissan) or Korean,Diesel,Centre,23.0
0.77,f,2.0,32.0,Japanese (except Nissan) or Korean,Diesel,Centre,23.0
0.55,e,0.0,33.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1746.0
0.19,e,0.0,33.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1746.0
0.01,e,0.0,33.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1746.0
0.87,e,0.0,54.0,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,781.0
0.8,e,0.0,69.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1376.0
0.07,e,0.0,69.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,1376.0
0.12,i,0.0,43.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
0.76,i,0.0,43.0,Japanese (except Nissan) or Korean,Regular,Ile-de-France,3424.5
